,,,,,,,,,,,Mass (g),118.3,178.2,239.4,247.9,363.9,430.7,508.9
Mass (g),118.3,178.2,239.4,247.9,363.9,430.7,508.9,,,,Frames per Half Cycle,44,43,44,43,43,34,43
Frames per Half Cycle,44,43,44,43,43,34,43,,,,,44,44,43,43,43,35,43
,44,44,43,43,43,35,43,,,,,43,44,44,44,44,35,44
,43,44,44,44,44,35,44,,,,,44,44,44,44,43,35,43
,44,44,44,44,43,35,43,,,,,43,44,44,44,44,35,44
,43,44,44,44,44,35,44,,,,,44,44,44,44,44,35,44
,44,44,44,44,44,35,44,,,,,44,43,44,44,44,34,44
,44,43,44,44,44,34,44,,,,,44,44,44,43,44,35,44
,44,44,44,43,44,35,44,,,,,44,44,44,44,44,34,44
,44,44,44,44,44,34,44,,,,,43,44,44,44,43,34,44
,43,44,44,44,43,34,44,,,,,,,,,,,
Average (Frames),43.70,43.80,43.90,43.70,43.60,34.60,43.7,,,,,,,,,,,
Average (s),1.460561497,1.463903743,1.467245989,1.460561497,1.457219251,1.156417112,1.460561497,,,,,,,,,,,
Standard Deviation (Frames),0.483045892,0.483045892,0.316227766,0.483045892,0.516397779,0.516397779,0.483045892,,,,,,,,,,,
Standard Deviation (s),0.02,0.02,0.02,0.01,0.02,0.02,0.02,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,TRUE,,,,,,,,,,
Length of String (cm),69.6,94.4,117.1,147.4,169.5,194.2,,,,,,,,,,,,
Frames per Half Cycle,25,30,33,37,40,43,,,,,,,,,,,,
,25,30,34,38,41,44,,,,,,,,,,,,
,26,30,34,38,40,43,,,,,,,,,,,,
,25,30,33,38,40,43,,,,,,,,,,,,
,25,30,33,38,40,43,,,,,,,,,,,,
,26,30,33,38,41,43,,,,,,,,,,,,
,26,31,33,38,41,44,,,,,,,,,,,,
,24,30,34,38,40,43,,,,,,,,,,,,
,25,30,33,38,41,44,,,,,,,,,,,,
,25,30,34,38,41,43,,,,,,,,,,,,
Average (Frames),25.20,30.10,33.40,37.90,40.50,43.30,,,,,,,,,,,,
Average (s),0.842245989,1.006016043,1.11631016,1.26671123,1.353609626,1.447192513,,,,,,,,,,,,
Standard Deviation (Frames),0.632455532,0.632455532,0.516397779,0.316227766,0.527046277,0.483045892,,,,,,,,,,,,
Standard Deviation (s),0.02,0.02,0.02,0.01,0.02,0.02,,,,,,,,,,,,
